clave_ent,nivel_ent,año,trimestre,itlp_is,TLP,ingreso_INPC,ingreso_canasta_ali,desagregacion,año_base_itlp
8,Chihuahua,2006,2,0.8063,19.8,3888.65,4678.07,Estatal,1T20
9,Ciudad de México,2006,2,0.7595,22.1,4088.82,4908.46,Estatal,1T20
10,Durango,2006,2,1.109,38.3,2267.12,2735.32,Estatal,1T20
11,Guanajuato,2006,2,1.0511,35,2312.4,2790.04,Estatal,1T20
12,Guerrero,2006,2,1.0013,56.4,1720.95,2075.3,Estatal,1T20
13,Hidalgo,2006,2,0.9735,45.5,2056.26,2489,Estatal,1T20
14,Jalisco,2006,2,1.1781,28.2,3157.1,3797.87,Estatal,1T20
15,Estado de México,2006,2,0.8188,28.5,2692.03,3238.43,Estatal,1T20
16,Michoacán,2006,2,1.2523,40,2187.59,2638.16,Estatal,1T20
17,Morelos,2006,2,0.8105,37.7,2296.51,2767.03,Estatal,1T20
18,Nayarit,2006,2,1.0201,32.4,2685.62,3243.02,Estatal,1T20
19,Nuevo León,2006,2,0.7737,15.6,4276.99,5137.59,Estatal,1T20
20,Oaxaca,2006,2,0.9842,57.8,1605.22,1941.43,Estatal,1T20
21,Puebla,2006,2,1.1381,48.8,1919.84,2313.05,Estatal,1T20
22,Querétaro,2006,2,0.8703,30.3,2804.07,3381.8,Estatal,1T20
23,Quintana Roo,2006,2,0.7168,19.9,4309.83,5180.41,Estatal,1T20
24,San Luis Potosí,2006,2,0.9917,43.6,2398.23,2893.42,Estatal,1T20
25,Sinaloa,2006,2,0.9223,23.8,3375.88,4069.38,Estatal,1T20
26,Sonora,2006,2,0.7224,19.5,3628.6,4366.82,Estatal,1T20
27,Tabasco,2006,2,0.9202,38.1,2575.96,3113.72,Estatal,1T20
28,Tamaulipas,2006,2,0.7932,26.2,3676.59,4419.96,Estatal,1T20
29,Tlaxcala,2006,2,0.9586,44.7,1954.37,2357.48,Estatal,1T20
30,Veracruz,2006,2,0.9334,46.3,2141.96,2586.11,Estatal,1T20
31,Yucatán,2006,2,1.2075,41.9,2436.33,2930.28,Estatal,1T20
32,Zacatecas,2006,2,0.9602,46,2034.06,2455.76,Estatal,1T20
1,Aguascalientes,2006,3,0.9677,29.6,2775.08,3300.85,Estatal,1T20
2,Baja California,2006,3,0.6485,13.5,4514.53,5361.28,Estatal,1T20
3,Baja California Sur,2006,3,0.836,13.8,4590.99,5459.06,Estatal,1T20
4,Campeche,2006,3,0.9174,38.3,2868.87,3409.04,Estatal,1T20
5,Coahuila,2006,3,0.9948,25.3,3503.19,4159.68,Estatal,1T20
6,Colima,2006,3,0.8052,21.2,3681.27,4371.97,Estatal,1T20
7,Chiapas,2006,3,0.9904,67.3,1315.02,1567.91,Estatal,1T20
8,Chihuahua,2006,3,0.9134,22.4,3739.75,4443.07,Estatal,1T20
9,Ciudad de México,2006,3,0.7744,22.5,4283.32,5080.47,Estatal,1T20
10,Durango,2006,3,1.1939,41.3,2323.48,2764.96,Estatal,1T20
11,Guanajuato,2006,3,1.0538,35.1,2309.63,2749.06,Estatal,1T20
12,Guerrero,2006,3,1.0038,56.6,1704.81,2029.59,Estatal,1T20
13,Hidalgo,2006,3,1.0141,47.4,2158.33,2575.94,Estatal,1T20
